# refreshed 2026-09-11: audited against current harmonizer (harmonizers/impress.py) and OMOP builders (omop/builders/*.py); added omop_table/omop_field columns. Rows with omop_table "(not yet mapped)" are tracked in .data/mapping_gaps.csv. Re-verify after future harmonizer/builder changes.
class,field,source_columns,omop_table,omop_field,transformation,description,data_type,required
patients,patient_id,SubjectId,person,person_source_value,Direct copy,Unique patient identifier,String,mandatory
patients,trial_id,(hardcoded),person,"location_id (indirect: resolved to a country via the trial_country lookup, then to LocationBuilder's row)",Set to trial identifier at runtime,Clinical trial identifier (e.g. IMPRESS),String,mandatory
patients,age,"DM_BRTHDAT, TR_TRC1_DT",(not written to any OMOP table),OMOP derives age from person.year_of_birth instead,"Calculated: (max(TR_TRC1_DT) - DM_BRTHDAT).days / 365.25, cast to integer",Age in years at latest treatment start date,Int64,optional
patients,date_of_birth,DM_BRTHDAT,person,"year_of_birth, month_of_birth, day_of_birth, birth_datetime",Parsed to Date; first non-null per patient,Date of birth,Date,optional
patients,date_of_death,"EOS_DEATHDTC, FU_FUPDEDAT",death,"death_date, death_datetime","max_horizontal of both dates, then max per patient; null if neither present",Date of death (latest known from end-of-study or follow-up records),Date,optional
patients,evaluable_for_efficacy_analysis,"TR_TRO_STDT, TR_TROSTPDT, TR_TRC1_DT, TR_TRTNO, TR_TRCYNCD",observation,value_as_concept_id (Yes/No); observation_date = treatment_start_date,True if any oral cycle >= 28 days (stop - start) OR any IV cycle gap >= 21 days (next cycle start - current start); only valid cycles (TR_TRCYNCD == 1),Whether patient had sufficient treatment duration for efficacy analysis,Boolean,optional
patients,has_any_adverse_events,"AE_AECTCAET, AE_AESTDAT, AE_AETOXGRECD",(not yet mapped),,True if any row for patient has non-empty AE text or date or grade,Whether patient has any recorded adverse events,Boolean,optional
patients,number_of_adverse_events,"AE_AECTCAET, AE_AESTDAT, AE_AETOXGRECD",(not yet mapped),,"Count of rows with any AE signal (non-empty text, date, or grade) per patient",Total number of adverse events for this patient,Int64,optional
patients,number_of_serious_adverse_events,AE_AESERCD,(not yet mapped),,Count of rows where AE_AESERCD == 1 per patient,Number of serious adverse events,Int64,optional
patients,sex,DM_SEX,person,"gender_concept_id, gender_source_value",Normalized: m/male -> 'male'; f/female -> 'female' (case-insensitive); first unique per patient,Patient's biological sex,String,optional
patients,treatment_start_date,"TR_TRNAME, TR_TRC1_DT","cohort, observation_period",cohort_start_date; observation_period_start_date (also the observation_date used for the evaluable_for_efficacy_analysis row),Min of TR_TRC1_DT per patient; only rows where TR_TRNAME is non-empty,Earliest treatment start date across all treatment names,Date,optional
patients,treatment_start_last_cycle,"TR_TRC1_DT, TR_TRCYNCD","cohort, observation_period",cohort_end_date (fallback); observation_period_end_date (fallback),"Max of TR_TRC1_DT per patient across all cycles (valid or not, by default)",Start date of the most recent treatment cycle,Date,optional
end_of_treatment,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
end_of_treatment,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
end_of_treatment,end_of_treatment.date,"EOT_EOTDAT, TR_TROSTPDT, TR_TRC1_DT, TR_TRCYNCD",observation,observation_date,Precedence: EOT_EOTDAT > max valid oral stop (TR_TROSTPDT) > max valid IV start (TR_TRC1_DT); valid cycle = TR_TRCYNCD == 1,Date treatment ended,Date,mandatory
end_of_treatment,end_of_treatment.reason,EOT_EOTREOT,observation,"value_as_string, value_source_value (both truncated); also determines end_of_treatment.status below","Direct copy, stripped; last duplicate kept per patient",Reason for ending treatment (free text),String,optional
end_of_treatment,end_of_treatment.status,(derived from EOT_EOTREOT text),observation,"observation_concept_id (trial_completion vs. patient_withdrawn topic concept); value_as_concept_id (mapped withdrawal-reason concept, WITHDRAWN only)","COMPLETED when reason text matches IMPRESS's completion phrase ('Normal completion according to cohort-specific manual', case-insensitive); WITHDRAWN for any other non-empty reason; null when no reason recorded",Standardized trial-outcome status (completed / withdrawn),String (enum),optional
clinical_benefit,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
clinical_benefit,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
clinical_benefit,clinical_benefit.has_benefit,"RA_RATIMRESCD, RA_RAiMODCD, RNRSP_RNRSPCLCD, RA_EventId, RNRSP_EventId",observation,value_as_concept_id (Yes/No),True if any response code <= 3 at visit V03 (week 16); iRecist (RA_RAiMODCD) > Recist (RA_RATIMRESCD) > RNRSP_RNRSPCLCD precedence,Whether patient had clinical benefit at the assessment timepoint,Boolean,mandatory
clinical_benefit,clinical_benefit.week,(hardcoded: 16 for IMPRESS),observation,"observation_source_value (encodes the week, e.g. 'has_clinical_benefit_at_week_16')",Fixed to 16 for IMPRESS (source-specific timepoint),Assessment timepoint in weeks,Int64,optional
clinical_benefit,clinical_benefit.date,"RA_EventDate, RNRSP_EventDate",observation,observation_date,"iRecist/Recist use RA_EventDate, RNRSP uses RNRSP_EventDate; falls back to whichever V03 date is available when no benefit is recorded",Date of the clinical-benefit assessment,Date,optional
cohort,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
cohort,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
cohort,cohort.raw_name,COH_COHORTNAME,cohort_definition,cohort_definition_description,"Direct copy, stripped; latest COH event per patient",Raw cohort/arm name as recorded in source,String,mandatory
cohort,cohort.normalized_name,(derived from raw_name plus the biomarker/cancer-type dictionaries and drug list),"cohort, cohort_definition","cohort.cohort_definition_id (FK); cohort_definition.cohort_definition_id, cohort_definition_name",'{biomarker}/{cancer_type}/{drug ingredients}' composed only when biomarker and cancer type both resolve via the harmonizer's lookup dictionaries,Canonical cross-trial cohort/arm name used to key cohort membership,String,optional
cohort,cohort.target_biomarker,COH_COHCTN (mapped via the biomarker dictionary),(not yet mapped),currently only feeds cohort.normalized_name,Lowercased and mapped via the biomarker dictionary,Target biomarker used for cohort assignment,String,optional
cohort,cohort.cancer_type,COH_COHTT (mapped via the cancer-type dictionary),(not yet mapped),currently only feeds cohort.normalized_name,Lowercased and mapped via the cancer-type dictionary,Cancer type used for cohort assignment,String,optional
cohort,cohort.drugs,"COH_COHALLO1, COH_COHALLO1__2, COH_COHALLO1__3, COH_COHALLO2, COH_COHALLO2__2, COH_COHALLO2__3",(not yet mapped),currently only feeds cohort.normalized_name,"Non-null drug allocation slots, brand name stripped to ingredient where parseable",Drugs allocated to this cohort,List[String],optional
best_overall_response,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
best_overall_response,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
best_overall_response,best_overall_response.code,"RA_RATIMRESCD, RA_RAiMODCD, RNRSP_RNRSPCLCD",(not yet mapped),,"Best (lowest) response code across all assessments per patient; iRecist codes normalized to RECIST scale (iCPD=4 removed, iPD=5->4, iUPD=6->96); best of RECIST vs iRecist per row; then coalesced with RANO","Response code (lower = better response: 1=CR, 2=PR, 3=SD, 4=PD)",Int64,optional
best_overall_response,best_overall_response.date,"RA_EventDate, RNRSP_EventDate",(not yet mapped),,Coalesced date associated with the best response row,Date of best overall response assessment,Date,optional
best_overall_response,best_overall_response.response,"RA_RATIMRES, RA_RAiMOD, RNRSP_RNRSPCL",(not yet mapped),,RECIST/iRecist text coalesced with RANO,Best overall response description (e.g. Complete Response),String,optional
biomarkers,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
biomarkers,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
biomarkers,biomarkers.target_biomarker,COH_COHCTN | COH_COHTMN | COH_GENMUT1,measurement,"measurement_concept_id, measurement_source_value (FK-linked to the patient's primary-cancer condition_occurrence row when present)","Coalesce by preference: cohort target name (COHCTN), then cohort target mutation (COHTMN), then measured gene (GENMUT1); stripped, latest non-null per patient",Target biomarker for cohort assignment,String,mandatory
biomarkers,biomarkers.date,COH_EventDate,measurement,"measurement_date, measurement_datetime",Parsed to Date; latest event per patient,Date of biomarker assessment,Date,optional
ecog_baseline,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
ecog_baseline,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
ecog_baseline,ecog_baseline.date,ECOG_ECOGDAT,measurement,"measurement_date, measurement_datetime",Parsed to Date; filtered to baseline visit (ECOG_EventId == V00); latest per patient,Date of baseline ECOG assessment,Date,optional
ecog_baseline,ecog_baseline.description,ECOG_ECOGS,(not yet mapped),,"Direct copy, stripped; baseline visit V00 only",ECOG performance status description,String,optional
ecog_baseline,ecog_baseline.grade,ECOG_ECOGSCD,measurement,"value_as_number (raw grade); value_as_concept_id (mapped grade, 0 if unmapped); measurement_source_value",Cast to Int64; baseline visit V00 only,ECOG performance status grade (0-5 scale),Int64,optional
lost_to_followup,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
lost_to_followup,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
lost_to_followup,lost_to_followup.lost_to_followup,FU_FUPSST,observation,value_as_concept_id (mapped withdrawal-reason concept); observation_source_value = 'lost_to_followup' (row only emitted when True),True when FU_FUPSST is not 'alive' or 'death' (case-insensitive) for any row,Whether patient was lost to follow-up,Boolean,mandatory
lost_to_followup,lost_to_followup.date_lost_to_followup,"FU_FUPALDAT, FU_FUPSST",observation,observation_date,Parsed from FU_FUPALDAT; only when FU_FUPSST is not 'alive' or 'death' (case-insensitive); max date per patient,Date patient was lost to follow-up,Date,optional
study_drugs,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
study_drugs,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
study_drugs,study_drugs.primary_treatment_drug,"COH_COHALLO1, COH_COHALLO1__2, COH_COHALLO1__3",(not yet mapped),,Coalesce first non-null across 3 source slots; collision detection (>1 slot populated -> null); last per patient,Primary study drug name,String,optional
study_drugs,study_drugs.primary_treatment_drug_code,"COH_COHALLO1CD, COH_COHALLO1__2CD, COH_COHALLO1__3CD",(not yet mapped),,Coalesced code paired with selected drug name slot,Primary study drug code,Int64,optional
study_drugs,study_drugs.secondary_treatment_drug,"COH_COHALLO2, COH_COHALLO2__2, COH_COHALLO2__3",(not yet mapped),,Coalesce first non-null across 3 source slots; collision detection,Secondary study drug name,String,optional
study_drugs,study_drugs.secondary_treatment_drug_code,"COH_COHALLO2CD, COH_COHALLO2__2CD, COH_COHALLO2__3CD",(not yet mapped),,Coalesced code paired with selected drug name slot,Secondary study drug code,Int64,optional
study_drugs,study_drugs.date,COH_EventDate,(not yet mapped),,Parsed to Date,Date associated with study drug allocation,Date,optional
tumor_type,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
tumor_type,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
tumor_type,tumor_type.cohort_tumor_type,COH_COHTT,(not yet mapped),,"Direct copy, stripped",Cohort-specific tumor type classification,String,optional
tumor_type,tumor_type.icd10_code,COH_ICD10COD,condition_occurrence,condition_concept_id (tried first); condition_source_value,"Direct copy, stripped",ICD-10 diagnosis code,String,optional
tumor_type,tumor_type.icd10_description,COH_ICD10DES,(not yet mapped),,"Direct copy, stripped",ICD-10 diagnosis description,String,optional
tumor_type,tumor_type.main_tumor_type,"COH_COHTTYPE, COH_COHTTYPE__2","condition_occurrence, episode","condition_concept_id (fallback when icd10_code is absent or unmapped), condition_source_value; episode.episode_source_value (Disease Episode)",First non-null complete pair (name+code) across 2 slots; collision detection (>1 complete pair -> null); last per patient,Main tumor type classification,String,optional
tumor_type,tumor_type.main_tumor_type_code,"COH_COHTTYPECD, COH_COHTTYPE__2CD",(not yet mapped),,Paired code with main_tumor_type slot; collision detection,Main tumor type code,Int64,optional
tumor_type,tumor_type.other_tumor_type,COH_COHTTOSP,(not yet mapped),,"Direct copy, stripped",Other tumor type specification (free text),String,optional
